Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
08-03-2024,09:28:38,"""CNR4660896""",Cancelled by Driver,"""CID5486947""",Premier Sedan,Dwarka Mor,ITO,5.8,10,2,Driver issue,2,More than permitted people in there,2,Vehicle Breakdown,879,12.5,3.8,4,UPI
20-03-2024,09:59:11,"""CNR2513330""",Cancelled by Driver,"""CID7805280""",Premier Sedan,Adarsh Nagar,Noida Extension,6.7,10,2,Driver issue,2,Customer related issue,2,Vehicle Breakdown,879,12.5,3.8,4,UPI
25-01-2024,12:39:21,"""CNR9252424""",Completed,"""CID9413620""",eBike,Vidhan Sabha,Mehrauli,12.1,18.1,2,Driver issue,2,Customer related issue,2,Vehicle Breakdown,291,3.71,3.2,4.3,UPI
11-04-2024,11:14:35,"""CNR3096031""",Completed,"""CID3101926""",Auto,Anand Vihar,Saket,5.8,24.3,2,Driver issue,2,Customer related issue,2,Vehicle Breakdown,114,32.98,4.3,4.5,Uber Wallet
17-06-2024,20:25:47,"""CNR4141159""",Completed,"""CID6810411""",Go Mini,Uttam Nagar,New Delhi Railway Station,4,44.5,2,Driver issue,2,Customer related issue,2,Vehicle Breakdown,464,11.2,4.5,4.2,Cash
29-07-2024,19:52:48,"""CNR6757829""",Completed,"""CID8433663""",Go Sedan,Model Town,Mundka,3.4,27.1,2,Driver issue,2,Customer related issue,2,Vehicle Breakdown,160,45.4,4,5,Cash
22-12-2024,10:53:20,"""CNR6204326""",Cancelled by Driver,"""CID9419495""",Auto,Mandi House,India Gate,11.1,10,2,Driver issue,2,Personal & Car related issues,2,Vehicle Breakdown,879,12.5,3.8,4,UPI
21-12-2024,21:40:00,"""CNR3347993""",Completed,"""CID4871438""",eBike,Ghitorni,Pitampura,9.9,38.5,2,Driver issue,2,Customer related issue,2,Vehicle Breakdown,206,28.78,4.1,3.7,Cash
23-02-2024,11:38:09,"""CNR6796311""",Incomplete,"""CID1880505""",Go Mini,Ghitorni Village,Palam Vihar,5.9,17.2,2,Driver issue,2,Customer related issue,2,Customer Demand,217,2.81,3.8,4,Credit Card
05-05-2024,21:22:39,"""CNR3908312""",Completed,"""CID8787746""",Bike,Okhla,Netaji Subhash Place,8.1,37.3,2,Driver issue,2,Customer related issue,2,Customer Demand,633,17.34,4.5,4.9,Credit Card
08-11-2024,17:01:10,"""CNR9416323""",Completed,"""CID1025742""",Auto,DLF City Court,Udyog Vihar Phase 4,6.1,28.2,2,Driver issue,2,Customer related issue,2,Customer Demand,717,9.38,4.2,4.5,UPI
26-12-2024,21:21:55,"""CNR2912296""",Completed,"""CID8094609""",Go Sedan,Rajiv Nagar,Ramesh Nagar,6,26.7,2,Driver issue,2,Customer related issue,2,Customer Demand,151,11.9,4.9,4.5,UPI
05-09-2024,07:44:18,"""CNR4611314""",Completed,"""CID6968311""",Premier Sedan,Sohna Road,New Delhi Railway Station,5,34.7,2,Driver issue,2,Customer related issue,2,Customer Demand,512,35.66,3.7,4.9,UPI
25-11-2024,08:29:14,"""CNR2601752""",Cancelled by Customer,"""CID9283370""",Go Sedan,Sadar Bazar Gurgaon,Indraprastha,12,10,2,Driver asked to cancel,2,Customer related issue,2,Customer Demand,879,12.5,3.8,4,UPI
15-08-2024,18:40:03,"""CNR5793527""",Cancelled by Driver,"""CID5705499""",Premier Sedan,Anand Vihar ISBT,Rohini,3.2,10,2,Driver issue,2,Personal & Car related issues,2,Customer Demand,879,12.5,3.8,4,UPI
10-02-2024,09:17:39,"""CNR4487090""",Completed,"""CID1210782""",Premier Sedan,Lajpat Nagar,Chirag Delhi,9.6,39.1,2,Driver issue,2,Customer related issue,2,Customer Demand,1390,21.79,5,4.9,UPI
26-09-2024,11:33:51,"""CNR5266935""",Cancelled by Driver,"""CID2831708""",Premier Sedan,Bahadurgarh,Pataudi Chowk,3.9,10,2,Driver issue,1,More than permitted people in there,2,Customer Demand,879,12.5,3.8,4,UPI
01-07-2024,17:39:56,"""CNR1487489""",Completed,"""CID3403699""",Bike,Moolchand,Karol Bagh,3.9,23,2,Driver issue,3,Customer related issue,2,Customer Demand,224,7.86,4.1,4.2,Cash
19-10-2024,16:24:50,"""CNR6351034""",Completed,"""CID2038230""",Auto,Uttam Nagar,Vaishali,8.4,31.3,2,Driver issue,3,Customer related issue,2,Customer Demand,708,18.04,4.6,4.8,UPI
09-02-2024,10:51:01,"""CNR7600870""",Completed,"""CID7289498""",Auto,INA Market,IFFCO Chowk,7.7,43.7,2,Driver issue,3,Customer related issue,2,Customer Demand,153,15.18,4.2,3.6,Uber Wallet
31-03-2024,12:37:12,"""CNR5444321""",Cancelled by Driver,"""CID3326946""",Bike,Sushant Lok,Noida Sector 62,6.3,10,2,Driver issue,3,The customer was coughing/sick,2,Customer Demand,879,12.5,3.8,4,UPI
11-12-2024,17:05:36,"""CNR8509610""",Completed,"""CID8227993""",Bike,IIT Delhi,Mansarovar Park,5,35,2,Driver issue,3,Customer related issue,2,Customer Demand,72,13.38,4.7,4.2,Cash
19-06-2024,16:19:41,"""CNR6851549""",Incomplete,"""CID9560489""",Go Sedan,Satguru Ram Singh Marg,Punjabi Bagh,8.9,15.6,2,Driver issue,3,Customer related issue,2,Customer Demand,282,11.81,3.8,4,UPI
20-06-2024,18:58:36,"""CNR3318044""",No Driver Found,"""CID4051792""",Go Mini,Adarsh Nagar,Gwal Pahari,5.6,10,2,Driver issue,3,Customer related issue,2,Customer Demand,879,12.5,3.8,4,UPI
10-07-2024,02:23:12,"""CNR3126177""",Completed,"""CID1851430""",Premier Sedan,Munirka,Saidulajab,10.9,43.6,2,Driver issue,3,Customer related issue,2,Customer Demand,696,30.9,4.7,3.7,UPI
06-02-2024,21:27:00,"""CNR6453539""",Incomplete,"""CID6999817""",eBike,New Colony,Jasola,5.7,18,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,936,14.91,3.8,4,Uber Wallet
30-09-2024,12:34:51,"""CNR7449144""",Completed,"""CID8609350""",Auto,IGNOU Road,Tis Hazari,8.6,32.7,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,2169,44.25,4.4,4.3,Uber Wallet
20-09-2024,13:09:16,"""CNR1970319""",Completed,"""CID6085619""",eBike,Meerut,Udyog Bhawan,9.5,24.6,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,136,45.46,3.2,3.8,Uber Wallet
30-04-2024,20:25:28,"""CNR4415815""",Completed,"""CID8351180""",Go Mini,Punjabi Bagh,Saket A Block,4.6,38.9,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,214,2.91,4.1,4.7,UPI
04-06-2024,20:38:07,"""CNR3899082""",Completed,"""CID5467225""",Go Mini,Akshardham,Mayur Vihar,10.3,16.4,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,835,37.57,4.2,4.8,UPI
30-10-2024,16:29:36,"""CNR3274519""",Cancelled by Driver,"""CID3829804""",eBike,Chhatarpur,Gurgaon Sector 29,6,10,2,Driver issue,3,More than permitted people in there,2,Vehicle Breakdown,879,12.5,3.8,4,UPI
11-08-2024,18:21:32,"""CNR3263958""",Completed,"""CID3231090""",Go Sedan,IMT Manesar,Ashram,2.6,36.2,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,705,40.18,3.9,4.8,UPI
21-05-2024,17:39:58,"""CNR5822542""",No Driver Found,"""CID1628370""",Uber XL,Madipur,DLF City Court,5.6,10,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,879,12.5,3.8,4,UPI
08-10-2024,08:52:57,"""CNR9652983""",Completed,"""CID4773175""",Go Sedan,Azadpur,Khan Market,2.1,35.5,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,480,20.22,4.3,4.8,Debit Card
26-03-2024,18:59:52,"""CNR2598306""",Cancelled by Customer,"""CID5704025""",Premier Sedan,Chhatarpur,Badshahpur,14.4,10,2,AC is not working,3,Customer related issue,2,Vehicle Breakdown,879,12.5,3.8,4,UPI
24-06-2024,18:04:39,"""CNR3274827""",Completed,"""CID3134967""",Go Mini,Cyber Hub,Old Gurgaon,7.5,41.7,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,707,44.76,4.8,4.4,UPI
28-03-2024,19:20:01,"""CNR9139265""",Cancelled by Driver,"""CID4003339""",Bike,Jhilmil,DLF Phase 3,9.9,10,2,Driver issue,3,Personal & Car related issues,2,Vehicle Breakdown,879,12.5,3.8,4,UPI
27-09-2024,20:16:53,"""CNR8036415""",Completed,"""CID9244184""",eBike,Sikanderpur,Greater Noida,10,38,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,865,43.34,3.2,3.8,Cash
26-04-2024,15:45:51,"""CNR8433849""",Completed,"""CID7659765""",Bike,Mayur Vihar,IGNOU Road,10.8,40,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,768,5.97,4.3,4.8,Cash
19-05-2024,18:47:16,"""CNR2948784""",Completed,"""CID7747807""",Bike,Rohini West,Yamuna Bank,7,37,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,626,27.96,3.9,4.3,Uber Wallet
05-06-2024,11:16:12,"""CNR1996806""",Completed,"""CID2293483""",Go Mini,Mandi House,Bahadurgarh,9.2,40.4,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,443,21.19,4.2,5,UPI
07-01-2024,16:21:31,"""CNR6241612""",Cancelled by Customer,"""CID5715130""",Auto,Azadpur,Hauz Rani,7.9,10,2,Driver asked to cancel,3,Customer related issue,2,Vehicle Breakdown,879,12.5,3.8,4,UPI
19-04-2024,14:14:27,"""CNR5222120""",Completed,"""CID2370613""",Go Sedan,Aya Nagar,Chandni Chowk,9.9,28.7,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,226,47.63,3.6,4.1,UPI
31-03-2024,16:34:57,"""CNR6596872""",Completed,"""CID2589193""",Auto,Shastri Nagar,Saket A Block,12.8,30.6,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,449,24.4,3.3,4.1,UPI
26-03-2024,19:13:05,"""CNR7149058""",Completed,"""CID7341591""",Go Mini,Vinobapuri,Shastri Park,5.9,21.1,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,778,7.49,4.3,4.9,UPI
10-06-2024,15:24:51,"""CNR5726463""",Completed,"""CID3407189""",Bike,Rohini West,Yamuna Bank,14.7,18.8,2,Driver issue,3,Customer related issue,2,Vehicle Breakdown,361,24.44,4.3,4.8,UPI
16-08-2024,17:05:19,"""CNR3975551""",Completed,"""CID2944423""",Auto,Kashmere Gate ISBT,New Colony,3.5,30.4,2,Driver issue,3,Customer related issue,1,Vehicle Breakdown,235,9.2,4.3,3.9,UPI
04-02-2024,15:32:16,"""CNR8637930""",Completed,"""CID8137475""",Go Sedan,Rohini,Botanical Garden,8.6,15.9,2,Driver issue,3,Customer related issue,1,Vehicle Breakdown,186,28.09,4.2,4.4,Cash
24-06-2024,18:46:34,"""CNR9935095""",Incomplete,"""CID7359331""",Uber XL,Kherki Daula Toll,Nawada,3.2,21.9,2,Driver issue,3,Customer related issue,1,Vehicle Breakdown,544,3.37,3.8,4,Cash
23-03-2024,11:31:18,"""CNR8893726""",No Driver Found,"""CID8335294""",Bike,IFFCO Chowk,Dilshad Garden,5.6,10,2,Driver issue,3,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
21-07-2024,10:45:00,"""CNR3975051""",Cancelled by Customer,"""CID5797043""",Go Mini,Hauz Rani,Kaushambi,13.1,10,2,Driver asked to cancel,3,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
22-09-2024,06:39:39,"""CNR1984811""",Cancelled by Customer,"""CID6701334""",Auto,Dilshad Garden,Qutub Minar,8.1,10,2,Change of plans,3,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
26-05-2024,22:36:05,"""CNR7036055""",Completed,"""CID7359512""",Bike,Faridabad Sector 15,Vinobapuri,7.7,25,2,Driver issue,3,Customer related issue,1,Vehicle Breakdown,86,40.1,3.6,4.4,Cash
30-03-2024,13:55:19,"""CNR3449107""",Cancelled by Driver,"""CID8684841""",Auto,Sarai Kale Khan,Central Secretariat,8.1,10,2,Driver issue,3,Personal & Car related issues,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
19-09-2024,08:47:23,"""CNR6919653""",No Driver Found,"""CID5736754""",Go Mini,Vishwavidyalaya,MG Road,5.6,10,2,Driver issue,3,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
26-12-2024,16:16:56,"""CNR8504461""",Completed,"""CID3984123""",Premier Sedan,Malviya Nagar,Chanakyapuri,8.3,43.7,2,Driver issue,3,Customer related issue,1,Vehicle Breakdown,234,42.5,3.7,4.9,Cash
28-06-2024,10:22:29,"""CNR3712671""",Cancelled by Driver,"""CID5160108""",eBike,Mayur Vihar,Vidhan Sabha,11.9,10,2,Driver issue,3,The customer was coughing/sick,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
